Sewing Thread - See Vendor Guide ,,COATS Sewing Thread,Factory Sourced,1.00 ,0.03,PC,$0.02 ,$0.02 
Beanie Care Content Label ,,Beanie Care Content Label,Factory Sourced,1.00 ,0.03,PC,$0.09 ,$0.09 
White Polyester Taffeta Tracking Label 38mm wide x 50mm long,,White Satin Tracking Label,Factory Sourced,1.00 ,0.03,PC,$0.04 ,$0.04 
VERTICAL RFID UPC STICKER,,STICKERS AND LABELS [FW23-],Avery Dennison Corporation,1.00 ,0.03,PC,$0.06 ,$0.06 
Glassine Bag,,GLASSINE BAG [FW23-],Seaman Paper,1.00 ,0.03,PC,$0.14 ,$0.14 
Polybag Sticker ,,SOFTGOODS PACKAGING STICKER [FW23-],Factory Sourced,1.00 ,0.03,PC,$0.04 ,$0.04 
EA- HSC11,,Hemp String '11,Combine,1.00 ,0.03,PC,$0.01 ,$0.01 
