Sewing Thread - See Vendor Guide ,,COATS Sewing Thread,Factory Sourced,1.00 ,0.030,PC,$0.020 ,$0.021 
Beanie Care Content Label ,,Beanie Care Content Label,Factory Sourced,1.00 ,0.030,PC,$0.090 ,$0.093 
White Polyester Taffeta Tracking Label 38mm wide x 50mm long,,White Satin Tracking Label,Factory Sourced,1.00 ,0.030,PC,$0.040 ,$0.041 
VERTICAL RFID UPC STICKER,,STICKERS AND LABELS [FW23-],Avery Dennison Corporation,1.00 ,0.030,PC,$0.060 ,$0.062 3
Glassine Bag,,GLASSINE BAG [FW23-],Seaman Paper,1.00 ,0.030,PC,$0.140 ,$0.144 
Polybag Sticker ,,SOFTGOODS PACKAGING STICKER [FW23-],Factory Sourced,1.00 ,0.030,PC,$0.040 ,$0.041 
EA- HSC11,,Hemp String '11,Combine Products International ,1.00 ,0.030,PC,$0.010 ,$0.010 
