Efficiency%, 100.00
Overhead, 0.35
Profit, 4%
Hangtag Package Part, 1234, 0.123, 1.000, 3.000
Hangtag Package Part, 121612, 0.049, 1.000, 3.000
Packaging 1, 980027, 0.006, 1.000, 3.000
Packaging 2, 980001, 0.030, 1.000, 3.000
Packaging 3, 980010, 0.011, 1.000, 3.000
Packaging 4, 064194, 0.050, 1.000, 3.000
