Thread, Sewing Thread, $0.01, 1
Cut & Sew / Labor, Sewing/ Steaming/ Cutting/ Lining Attachment, $2.35, 1
Freight, -, $0.10, 1
Other, Overhead, $0.40, 1
Other, Profit, $0.30, 1
Other, Packaging, $0.20, 1
